sep=;
valueInCurrency;valueToReimburse;VatAvgRate;currency;dayInvoice;hourInvoice;dayCreation;hourCreation;Name_EN;merchantCountry;merchantCity;hasPhoto;MerchantName;Source;validated
1,2;1,2;20;EUR;Tuesday;13;Tuesday;14;Toll;FR;Tinqueux;false;Sanef;13;0
5,9;5,9;null;EUR;Tuesday;11;Sunday;20;Equipment;FR;null;false;null;11;0
14,15;14,15;10;EUR;Monday;16;Monday;16;Meal;FR;null;false;La Boulaye;0;0
15,36;15,36;null;EUR;Tuesday;18;Tuesday;18;Mileage expense;FR;Tours;true;null;13;0
219;100;null;EUR;Wednesday;10;Friday;11;HOTEL BIG CITIES;FR;Lyon;false;null;0;0
75,2;75,2;10;EUR;Tuesday;6;Sunday;21;Train;FR;;false;Ratp;13;0
18;18;null;EUR;Monday;13;Tuesday;16;Parking;FR;Bordeaux;false;Parc De;13;0
31,98;31,98;null;EUR;Friday;0;Monday;21;Telephonie mobile;FR;;false;SFR;5;0
19,1;19,1;null;EUR;Friday;8;Thursday;12;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
3,65;3,65;null;EUR;Tuesday;10;Tuesday;12;Mileage expense;FR;Saint-Martin-du-Tertre;true;null;11;0
29,7;29,7;10;EUR;Friday;13;Tuesday;11;Meals COM;FR;PlÃ©rin;false;Bistrot;12;0
7,76;7,76;null;EUR;Monday;9;Thursday;13;Postal charges;FR;Paris;false;Ob Jeligeo Us A.2;13;0
72,16;72,16;null;EUR;Thursday;23;Saturday;8;AUTOROUTE;FR;Chaumont;true;Aprr;11;0
89;89;10;EUR;Thursday;15;Thursday;14;Consumable Reception Miscellaneous;FR;Paris;false;Ssp France;13;0
13;13;null;EUR;Monday;10;Monday;6;Lunchs;FR;null;false;null;11;0
1,5;1,5;null;EUR;Monday;21;Monday;7;Invitations clients/fournisseurs;FR;Landerneau;false;CafÃ© Du Port;12;0
786,22;786,22;null;EUR;Saturday;11;Saturday;14;Mileage expense;FR;Bourg-en-Bresse;true;null;11;0
5,89;5,89;0,883;EUR;Wednesday;10;Friday;12;Meals;FR;;true;;11;0
5,8;5,8;0,808;EUR;Monday;12;Wednesday;9;Collation, vente Ã  emporter;FR;Guipavas;false;Penn Ar Bread (sas Pab Guipavas;12;0
1180;1180;5;INR;Tuesday;11;Thursday;10;Internet;IN;Thane;false;Subscriber Name Sarika Sinha Annexure Number;11;0
109;109;0,581;EUR;Tuesday;10;Tuesday;8;hotel expenses;DE;null;false;null;11;0
650;650;null;EUR;Sunday;10;Sunday;10;Various Supplies Purchase (not integ. with prod);FR;Boulogne Billancourt;true;Monsieur Xavier Boileau;null;0
57,98;57,98;20;EUR;Monday;14;Monday;14;Car;FR;Sarrebourg;false;Feu Vert;12;0
299;150;null;EUR;Monday;10;Thursday;8;Teleworking Screen;FR;null;false;Boulanger;11;0
93;93;1,359;EUR;Tuesday;13;Thursday;7;Meals;FR;Paris;false;Casa Luca;13;0
26,2;26,2;null;EUR;Sunday;3;Wednesday;16;Meals;NL;Utrecht;false;Thanks For Ordering Albert;13;0
22;18;null;EUR;Friday;10;Monday;9;Lunch Province alone;FR;Dijon;false;Cafe De La Concorde;11;0
10;10;2,03;EUR;Sunday;23;Monday;8;Phone;FR;Nantes;true;Virgin Mobile;13;0
5398,42;5398,42;5;AED;Saturday;8;Saturday;18;***** Representation Local;AE;null;true;dnata travel;11;0
97,24;97,24;null;CHF;Tuesday;4;Tuesday;15;Transportation - train / plane;CH;Bern;false;Nicht GÃ¼ltig Zur Fahrt;12;0
489;489;20;EUR;Friday;11;Tuesday;17;Equipment;FR;Paris;false;Fnac;0;0
34,98;34,98;0;EUR;Monday;12;Monday;6;Phone;FR;massy;true;;12;0
120;120;null;EUR;Monday;11;Friday;13;Small material;FR;null;false;null;11;0
3,36;3,36;null;EUR;Thursday;20;Friday;20;Mileage expense;FR;Bordeaux;true;null;13;0
76;76;null;EUR;Wednesday;23;Tuesday;17;Toll;FR;Senlis;false;Vinci Autoroutes;12;0
18;18;null;EUR;Tuesday;10;Thursday;14;Taxi;FR;juvisy;false;heetch;12;0
23;23;null;EUR;Tuesday;10;Saturday;19;Toll;FR;null;false;null;11;0
138,92;138,92;null;EUR;Thursday;10;Thursday;7;Mileage expense;FR;Tourcoing;true;null;11;0
1,6;1,6;null;EUR;Thursday;10;Thursday;11;Parking;FR;Castres;true;Fin De  Autorisl;12;0
14;14;null;EUR;Thursday;18;Sunday;21;Meals;FR;Paris;false;Grazie;13;0
6,8;6,8;null;EUR;Thursday;11;Wednesday;21;Public Transportation;FR;Lille;false;SNCF;12;0
5;5;null;EUR;Friday;10;Monday;11;Public Transportation;FR;null;false;null;11;0
72,9;72,9;null;EUR;Tuesday;10;Tuesday;8;G1 - Entretien de VÃ©hicule Utilitaire - 2 places;FR;null;false;null;11;0
11,83;11,83;null;EUR;Wednesday;11;Monday;13;Mileage expense;FR;Montpellier;true;null;11;0
5,2;5,2;20;EUR;Friday;10;Thursday;7;Equipment;FR;Montreuil;false;Auchan;13;0
6;6;20;EUR;Wednesday;12;Wednesday;13;Miscellaneous;FR;;false;Totalenergies;13;0
5,5;5,5;null;EUR;Friday;10;Saturday;8;Repas hors AriÃ¨ge / PO;FR;Paris;false;monop'daily;11;0
33,02;33,02;null;EUR;Tuesday;12;Tuesday;18;Vehicule repair maintenance;FR;;false;Volume Litres;13;0
1770;1770;null;EUR;Tuesday;2;Friday;16;Flight + Train;FR;null;true;Thinkproject-plm;0;0
38;25;null;EUR;Thursday;14;Sunday;5;Lunch Province;FR;;false;A La Bonne Heure;13;0
21,6;17;null;EUR;Friday;10;Tuesday;11;Repas seul Midi Province;FR;null;false;null;13;0
3,9;3,9;20;EUR;Friday;9;Monday;9;deplacement;FR;;false;;12;0
19;19;null;EUR;Wednesday;11;Friday;12;Meal Package France;FR;null;false;null;11;0
16;16;null;EUR;Tuesday;10;Tuesday;13;Home Office;FR;null;false;null;11;0
10,56;10,56;20;EUR;Sunday;15;Monday;12;Diesel vÃ©hicule de tourisme;FR;Cugnaux;false;Carrefour;12;0
34;34;10;EUR;Friday;13;Friday;12;Invitations collaborateurs;FR;Lampaul Guimillau;true;L'Escapade;12;0
12,5;12,5;null;EUR;Friday;15;Tuesday;15;Parking;FR;;false;;13;0
6,94;6,94;null;EUR;Thursday;10;Thursday;15;Diner Hors RÃ©gion Parisienne;FR;null;false;null;11;0
16,5;16,5;9,3;EUR;Monday;11;Monday;15;Restaurant Province;FR;Nancy;false;Octavius Burger;12;0
87,72;87,72;null;EUR;Thursday;7;Thursday;7;INDEMINTES KILOMETRIQUES;FR;Nice;true;null;13;0
30,5;17;null;EUR;Thursday;19;Wednesday;9;Repas seul Soir Province;FR;null;false;null;11;0
550;550;20;EUR;Tuesday;10;Tuesday;19;Car Maintenance;FR;null;false;null;11;0
37,04;37,04;null;EUR;Wednesday;0;Friday;7;Mileage expense;FR;Saint-Denis-en-Val;true;null;13;0
50,91;50,91;null;EUR;Wednesday;11;Wednesday;11;Mileage expense;FR;Dardilly;true;null;13;0
91,95;91,95;null;EUR;Wednesday;10;Thursday;21;Misc;FR;Enghien;false;Enghien Les Ba;12;0
